Tempo (s),Posição X (px)
0.049,254
0.075,254
0.145,255
0.169,255
0.193,255
0.216,255
0.256,257
0.28,257
0.304,257
0.355,262
0.377,262
0.401,262
0.449,258
0.474,258
0.547,256
0.571,256
0.594,256
0.616,256
0.657,261
0.681,261
0.705,261
0.754,281
0.778,281
0.802,281
1.954,247
1.977,247
2.001,247
2.05,263
2.072,263
2.161,273
2.186,273
2.209,273
2.234,273
2.258,263
2.282,263
2.303,263
2.354,262
2.378,262
2.401,262
2.45,269
2.475,269
2.497,269
2.562,283
2.586,283
2.609,283
2.657,265
2.682,265
2.706,265
2.754,244
2.777,244
2.8,244
2.849,220
2.873,220
2.896,220
2.962,213
2.986,213
3.01,213
3.057,237
3.081,237
3.105,237
3.152,250
3.175,250
3.2,250
3.25,262
3.272,262
3.296,262
3.552,312
3.575,312
3.599,312
3.762,248
3.783,248
3.808,248
3.953,216
3.976,216
4.0,216
4.065,222
4.09,222
4.114,222
4.161,224
4.185,224
4.209,224
4.261,224
4.285,224
4.308,224
4.465,261
4.49,261
4.512,261
4.656,316
4.682,316
4.705,316
4.962,259
4.986,259
